Date,Type,Event,Impact,Notes
2026-04-22,실적,SK하이닉스 실적발표,High,자동 업데이트됨
2026-07-15,실적,ASML 실적발표,High,자동 업데이트됨
2026-07-16,실적,TSMC 실적발표,High,자동 업데이트됨
2026-07-21,매크로,한국 반도체 수출실적 발표,High,반도체 수출 YoY 확인 — 국장 반도체주 방향성 결정 핵심 선행 지표
2026-07-23,실적,알파벳(구글) 실적발표 & 어닝콜,High,AI CAPEX 투자 계획 발표 주목 — 엔비디아·브로드컴 등 AI 섹터 수급 방향 결정
2026-07-29,실적,삼성전자 실적발표,High,자동 업데이트됨
2026-07-30,실적,META 실적발표,High,자동 업데이트됨
2026-07-30,실적,MSFT 실적발표,High,자동 업데이트됨
2026-07-31,실적,AAPL 실적발표,High,자동 업데이트됨
2026-08-12,물가·금리,미국 7월 CPI 발표 (21:30 KST),High,물가 상회 시 장기금리와 기술주 할인율 부담 확대. 둔화 시 신규진입 여건 개선.
2026-08-13,물가·금리,미국 7월 PPI 발표 (21:30 KST),High,기업 비용의 물가 압력을 확인. CPI와 같은 방향이면 금리 반응이 커질 수 있음.
2026-08-14,경기·고용,미국 7월 소매판매 발표 (21:30 KST),High,소비·경기 지속성 확인. 고물가와 소비 둔화의 동시 발생은 위험 신호.
2026-08-14,경기·고용,미시간대 8월 소비심리 잠정치 (23:00 KST),Medium,기대인플레이션 급등 여부를 점검. 장기금리 민감 구간에서는 중요도가 높아짐.
2026-08-19,연준,"7월 FOMC 의사록 공개 (03:00 KST, 8/20)",High,연준 내부의 물가·유동성 인식 확인. 매파적이면 기술주 비중 확대를 보류.
2026-08-26,경기·고용,미국 2분기 GDP 수정치 발표 (21:30 KST),High,성장과 물가를 함께 해석. 성장 둔화와 물가 재상승 조합은 가장 불리.
2026-08-26,물가·금리,미국 7월 PCE·개인소득 발표 (21:30 KST),High,연준 선호 물가 지표. 핵심 PCE의 방향이 금리 경로 판단에 직접 연결됨.
2026-08-27,실적,NVDA 실적발표,High,자동 업데이트됨
2026-08-27,연준,잭슨홀 경제정책 심포지엄 시작,High,8/27~29 연준 인사 발언에 따른 장기금리 변동성 경계. 갭 상승 추격 금지.
2026-09-04,경기·고용,미국 8월 고용보고서 발표 (21:30 KST),High,고용·임금이 9월 연준 판단에 미치는 핵심 입력값.
2026-09-11,물가·금리,미국 8월 CPI 발표 (21:30 KST),High,9월 FOMC 직전의 핵심 물가 확인. 예상치 대비 방향을 우선 해석.
2026-09-15,연준,9월 FOMC 회의 시작,High,9/15~16 회의 및 점도표. 정책금리·유동성 경로 재평가 구간.
